Keywords List for UI Snapshot Analysis,
Data Types,Keywords
UPI,"name, age, birthday, phone, email, address, home address, business address, bill address, building, community, city, country, postal code, door number, unit number, street, marriage, marrital, nationality, race, religion, passport, IC"
HI,"insurance, diet, weight, height, blood sugar, blood pressure, fitness, symptom, case, medicine, drug"
FPI,"credit cards, card number, cvv, security code, expiry date, expiration date, bank, swift code, iban number, branch name, payment, financial, money, fund, income, expense, receipt"
AI,"username, id, account, password, pass word, pwd, otp, seed phrases, backup words, mnemonics, certificate, key"
PCI,"whatsapp, telegram, wechat, facebook, twitter, linkin, chat, message, communication, conversation, session, dialogue"
LI,"longitude, latitude, coordinate, axis, gps, longitude, latitude, coordinate, axis, gps"
WHI,
UAI,
WCI,
DI,"ip, ip address, mac, mac addres, device id, instance id, wifi password, wifi, memory, cpu, network, storage"
PS,"privacy, notification, history, accessibility settings, security"
FS,"upload, choose file, select file, local file, import"
,
Privacy-related Browser APIs,
Data Types,APIs
UPI,-
HI,-
FPI,-
AI,"chrome.identity, chrome.platformKeys, browser.identity"
PCI,-
LI,"navigator.geolocation, chrome.system.network.getNetworkInterfaces"
WHI,"chrome.browsingdata, browser.bookmarks, browser.browsingData, browser.history, browser.topSites"
UAI,"chrome.accessbilityfeatures, chrome.contentSettings, chrome.cookies, chrome.desktopCapture, chrome.devtools.network, chrome.commands, chrome.webRequest, browser.captivePortal, browser.commands, browser.devtools.network, browser.cookies, browser.event.addListener, browser.proxy, browser.webNavigation, browser.webRequest"
WCI,"chrome.devtools.inspectedWindow, chrome.devtools.panels, chrome.pageCapture, chrome.tabGroups, chrome.tab, chrome.windows, browser.action, browser.devtools.inspectedWindow, browser.extension, browser.find.find, browser.tabs.get, browser.devtools.panels, browser.windows"
DI,"chrome.enterprise.deviceAttributes, chrome.enterprise.hardwarePlatform, chrome.instanceID, chrome.power, chrome.system.cpu, chrome.system.memory, chrome.system.storage, chrome.wallpaper, chrome.enterprise.networkingAttributes, chrome.system.display"
PS,"chrome.privacy, chrome.permission, chrome.proxy, browser.privacy, browser.browserSettings, browser.types.BrowserSetting, chrome.proxy, browser.management, browser.permission"
FS,chrome.fileBrowserHandle
,
Label Distribution in MinDa-166,
Labels,UPI, HI, FPI, AI, PCI, LI, WHI, UAI, WCI, DI, PS, FS, Other
No. of Samples,21, 44, 25, 42, 85, 32, 20, 250, 284, 37, 107, 91, 1383
Percentage,0.87, 1.82, 1.03, 1.73, 3.51, 1.32, 0.83, 10.33, 11.73, 1.53, 4.42, 3.76, 57.13